"ALFONSIN J","ARGENTINA"
"Kychanov","Team 2"
"HAMAOUI","GS Idea Br. TO"
"RINALDI","Br. Villa Fabbriche"
"B.McDonald","Chadwick"
"KWIECIEN","BURAS"
"COMBESCURE","FRANCE"
"Roger","Bretagne"
"Wyer","Courtney"
"NARASIMHAN","USA 1"
"G.Lorentz","Haughie"
"Tsai","NTU"
"Jansma","Het Witte Huis"
"Bessis","France"
"GINNOSSAR","WOLFSON"
"Senguler","Bodrum BC Turkey"
"Li QL","Pu Dong"
"Reps","Germany"
"TUEJE","DKI Jakarta"
"Sakkal","Martens"
"Helgemo","England"
"Di Bello S","Lucignano V.Fabbr."
"O' Neil","Antoniou"
"Schaltz M","DEN"
"Muller","Netherland"
"Edi","Bisma Semarang"
"Znamirowsk","PIETRASZEK"
"Lambardi","Lavazza"
"JONES","WALES"
"Mello","Brum.P."
"vd Toorn","Neth Girls and boys"
"kentnewbie","NTOU"
"Aal","NTNU"
"Thompson","Boylson"
"Poletylo","Suwik"
"LEWIS MARC","CROATIA"
"donglidang","Beidike"
"M Bilde","Auken"
"MULTON","Zimmerman"
"Nagy","HAUGHIE"
"Bowles","Young Chelsea"
"Miric","Saina"
"SPRUNG","USA 2"
"NAKAMARU-P","SCOTLAND"
"SUBBA RAJU","Kaushik"
"Sandqvist","Young Chelsea"
"Karamoy","Ind Bhineka"
"T.G. Asbi","DKI Jaya"
"Kujawa","KALITA"
"F. Karwur","Djarum 1"
"Naito","Japan 2"
"M. INO","Japan"
"Brink","Orange Green"
"Brunner","Hackett"
"STredinnic","Collins"
"MIRCHEVA","BULGARIA"
"SMIRNOV","BAMBERGER "
"Brum. P","Brum"
"EIDI M.","FANTONAKIS"
"DAMASO","PORTUGAL"
"HAMMAN. B","USA"
"Jomura","Umisen Yamasen"
"Hefni","South Sumatera"
"Volcker.F","U28"
"Van Mol","Squeeze 1"
"Djurovic","New South Wales"
"Shen MK","Cai Fu Zheng Quan"
"Alan Sia","INTERNATIONAL"
"Cohen","Welland"
"Volcker","Volcker"
"Slemr","Czech Rep"
"Nanev","Quantum"
"Upmark","Peter Fredin"
"DUBOIN Geo","ITALY"
"BOCCHI","ALLEGRA TORINO"
"C.Booth","China Hong Kong"
"Vozabal Da","Czech Republic"
"Levy A","Bessis"
"greco","O'ROURKE"
"Rosen","England"
"NEVE","NEVE"
"Nahmias","Piganeau"
"Neimanis","Balti"
"Levin","Israel"
"Wang","Kang"
"Pikus","MRAGOVIA"
"Brogeland","Nature (Zia)"
"I.Herbst","Herbst"
"JANSSENS","NETHERLANDS"
"Seguineau","Bessis.O"
"Brogeland ","ERICHSEN"
"letizia","USA"
"Buras","EKO AL"
"Xhori","Albania"
"Dag","Arctic Farmers"
"Amsel","SQUEEZE"
"Luntungan","Bank Mandiri Manado"
"T Garvey","Ireland"
"Benetti","Eidi"
"O. Kiema","Finland"
"Greta","FOS"
"Kang Meng","Beijing"
"GAVIARD","PAYEN"
